true/pred,Walk,Run,Jump,Sit,Empty,Stand,Waving,Clap,Lay down,Wipe,Squat,Stretch
Walk,20,0,0,0,0,0,0,0,0,0,0,0
Run,9,11,0,0,0,0,0,0,0,0,0,0
Jump,15,2,2,0,0,0,0,1,0,0,0,0
Sit,0,0,0,17,0,0,0,0,0,3,0,0
Empty,0,0,0,0,13,0,0,7,0,0,0,0
Stand,0,0,0,0,0,19,0,0,0,0,1,0
Waving,3,4,1,0,0,0,3,2,0,0,3,4
Clap,0,0,0,0,0,0,0,14,0,0,0,6
Lay down,0,0,0,0,0,0,0,3,17,0,0,0
Wipe,0,0,0,0,0,0,0,0,0,20,0,0
Squat,0,0,0,0,0,0,0,0,0,0,20,0
Stretch,0,0,0,0,3,0,1,2,1,0,0,13
